segment,matched_stems,calibration_frames,evaluation_pixels,selected_model,AbsRel,RMSE,delta1
segment-10161761842905385678_760_000_780_000_with_camera_labels,198,5,2967303,power,0.0,0.0,1.0
segment-10534368980139017457_4480_000_4500_000_with_camera_labels,199,5,3397408,power,0.0,0.0,1.0
segment-10649066155322078676_1660_000_1680_000_with_camera_labels,196,5,3023089,power,0.0,0.0,1.0
segment-10998289306141768318_1280_000_1300_000_with_camera_labels,198,5,3427686,power,0.0,0.0,1.0
segment-12892154548237137398_2820_000_2840_000_with_camera_labels,198,5,3408967,power,0.0,0.0,1.0
segment-1376304843325714018_3420_000_3440_000_with_camera_labels,199,5,3489158,power,0.0,0.0,1.0
segment-13790309965076620852_6520_000_6540_000_with_camera_labels,198,5,2584996,power,0.0,0.0,1.0
segment-13887882285811432765_740_000_760_000_with_camera_labels,198,5,3190281,power,0.0,0.0,1.0
segment-14470988792985854683_760_000_780_000_with_camera_labels,199,5,2583988,power,0.0,0.0,1.0
segment-15865907199900332614_760_000_780_000_with_camera_labels,198,5,3174856,power,0.0,0.0,1.0
segment-16050146835908439029_4500_000_4520_000_with_camera_labels,198,5,3138430,power,0.0,0.0,1.0
segment-16062780403777359835_2580_000_2600_000_with_camera_labels,199,5,2496873,power,0.0,0.0,1.0
segment-16367045247642649300_3060_000_3080_000_with_camera_labels,197,5,2975416,power,0.0,0.0,1.0
segment-17052666463197337241_4560_000_4580_000_with_camera_labels,198,5,3162696,power,0.0,0.0,1.0
segment-17595457728136868510_860_000_880_000_with_camera_labels,199,5,2671737,power,0.0,0.0,1.0
segment-17835886859721116155_1860_000_1880_000_with_camera_labels,199,5,3118318,power,0.0,0.0,1.0
segment-2383902674438058857_4420_000_4440_000_with_camera_labels,198,5,2775808,power,0.0,0.0,1.0
segment-3122599254941105215_2980_000_3000_000_with_camera_labels,198,5,3148255,power,0.0,0.0,1.0
segment-3275806206237593341_1260_000_1280_000_with_camera_labels,199,5,3901444,power,0.0,0.0,1.0
segment-3400465735719851775_1400_000_1420_000_with_camera_labels,198,5,2709862,power,0.0,0.0,1.0
segment-3459095437766396887_1600_000_1620_000_with_camera_labels,198,5,2994944,power,0.0,0.0,1.0
segment-4008112367880337022_3680_000_3700_000_with_camera_labels,199,5,2707871,power,0.0,0.0,1.0
